1,일반음식점,회집,홍도횟집,"부산광역시 수영구 광안해변로 271-1, -1~3층 (민락동)",부산광역시 수영구 민락동 176 - 15 -1~3층,생선회,051-751-1500,35.1559458,129.1234722
2,일반음식점,중국식,향래원,"부산광역시 수영구 민락수변로 127-7, 1~4층 (민락동)",부산광역시 수영구 민락동 110 - 83,코스요리,051-751-0901,35.1554745,129.134001
3,일반음식점,한식,할매재첩국,"부산광역시 수영구 광남로120번길 8, 1층 (광안동)","부산광역시 수영구 광안동 198 - 1 8,9 (1층)",재첩국,051-751-7658,35.1518667,129.1163867
4,일반음식점,식육(숯불구이),푸른산장,"부산광역시 수영구 황령산로 29, 2층 (남천동)",부산광역시 수영구 남천동 45 - 9 2층,"유황청둥오리,흑돼지생삼겹살",051-625-0500,35.1483313,129.1078662
5,일반음식점,회집,포항물횟집,"부산광역시 수영구 광안해변로290번길 17, 1~3층 (민락동)",부산광역시 수영구 민락동 181 - 120 1~3층,"생선회, 물회",051-752-5732,35.1483313,129.1078662
6,일반음식점,식육(숯불구이),청송양곱창,"부산광역시 수영구 남천동로108번길 8, 1~2층 (남천동)",부산광역시 수영구 남천동 6 - 13,양곱창,051-627-5291,35.1457746,129.1120335
7,일반음식점,식육(숯불구이),진주양곱창,"부산광역시 수영구 무학로9번길 138, 1층 (광안동)",부산광역시 수영구 광안동 207 - 5 1층,양곱창,051-758-1460,35.1671416,129.1173584
8,일반음식점,회집,진미횟집,"부산광역시 수영구 광안해변로 207, 1~2층 (광안동)",부산광역시 수영구 광안동 196 - 2 로즈모텔,생선회,051-758-8700,35.1526635,129.1174699
9,일반음식점,한식,조방낙지,"부산광역시 수영구 광일로29번길 68, 1층 (광안동)",부산광역시 수영구 광안동 536 - 140,낙지볶음,051-915-7865,35.1593912,129.110433
10,일반음식점,탕류(보신용),조마루감자탕,"부산광역시 수영구 수영로 723, 1층 8,9호 (수영동)","부산광역시 수영구 수영동 444 - 8 ,9(1층)",감자탕,051-751-3651,35.1685814,129.1183034
11,일반음식점,한식,장수장꼬리곰탕,"부산광역시 수영구 무학로9번길 83, 1층 (광안동)",부산광역시 수영구 광안동 89 - 9 1층,꼬리곰탕,051-751-7096,35.1655435,129.1154869
12,일반음식점,한식,원조산곰장어집,"부산광역시 수영구 수영로725번길 32, 1층 (수영동)",부산광역시 수영구 수영동 304 - 5 1층,곰장어구이,051-752-2596,35.168849,129.1170832
13,일반음식점,중국식,용궁반점,"부산광역시 수영구 무학로22번길 4, 1층 (광안동)",부산광역시 수영구 광안동 120 - 124 1층,자장면,051-751-2267,35.1615324,129.1160732
14,일반음식점,회집,신라횟집,"부산광역시 수영구 광안해변로 273-1, 1~3층 (민락동)",부산광역시 수영구 민락동 176 - 24 1~3층,생선회,051-753-2800,35.1559693,129.1235626
15,일반음식점,회집,수정궁,"부산광역시 수영구 민락수변로 25, 1~5층 (민락동, 수정궁빌딩)","부산광역시 수영구 민락동 181 - 166 수정궁빌딩, 1~5층",생선회,051-753-2811,35.1536463,129.1245381
16,일반음식점,한식,서울부대찌게,"부산광역시 수영구 남천동로9번길 66, 1층 (남천동)",부산광역시 수영구 남천동 9 - 8 (1층),"부대찌게, 전골",051-621-8080,35.1452858,129.1116768
17,일반음식점,한식,서울깍두기,"부산광역시 수영구 남천동로9번길 61, 1층 (남천동)",부산광역시 수영구 남천동 8 - 4 1층,설렁탕,051-621-3989,35.1452916,129.1113356
18,일반음식점,탕류(보신용),서울깍두기,"부산광역시 수영구 광남로142번길 9, 1~2층 (광안동)",부산광역시 수영구 광안동 191 - 14,"설렁탕, 곰탕",051-757-7752,35.1538463,129.1179317
19,일반음식점,"외국음식전문점(인도,태국등)",샤브향남천점,"부산광역시 수영구 광남로 31, 2층 (남천동, BBC빌딩)",부산광역시 수영구 남천동 27 - 8 BBC빌딩 2층,월남쌈샤브샤브,051-612-3320,35.1526949,129.1177401
20,일반음식점,중국식,동화대반점,"부산광역시 수영구 수영로427번길 11, 1~2층 (남천동)",부산광역시 수영구 남천동 69 - 2 1~2층,탕수육,051-611-6686,35.144219,129.1086841
21,일반음식점,식육(숯불구이),대성양곱창,"부산광역시 수영구 무학로9번길 134, 1층 (광안동)",부산광역시 수영구 광안동 207 - 18 (1층),양곱창,051-751-1235,35.1671502,129.1172004
22,일반음식점,일식,다케다야,"부산광역시 수영구 남천동로108번길 31, 2층 (남천동)",부산광역시 수영구 남천동 3 - 58 2층,우동,051-611-5711,35.1466745,129.1128875
23,일반음식점,회집,뉴부산횟집,"부산광역시 수영구 광안해변로 31-5, 1~3층 (남천동)",부산광역시 수영구 남천동 558 - 17 1~3층,생선회,051-625-4200,35.1381712,129.1130836
24,일반음식점,탕류(보신용),남천삼계탕,"부산광역시 수영구 남천동로108번길 14, 1층 (남천동)",부산광역시 수영구 남천동 6 - 8 (1층),삼계탕,051-759-1999,35.1459592,129.1123532
